loading data...
0	8,1%
1000	10,6%
2000	10,4%
3000	10,7%
4000	19,9%
5000	18,7%
6000	22,3%
7000	19,7%
8000	20,4%
9000	22,6%
10000	32,2%
11000	33%
12000	38,3%
13000	40,7%
14000	40,3%
15000	38,9%
16000	47,3%
17000	48,1%
18000	56,8%
19000	60,9%
20000	62%
21000	61,1%
22000	58%
23000	64,4%
24000	62,5%
25000	64,1%
26000	71,8%
27000	70,7%
28000	69%
29000	71,5%
30000	71,2%
31000	71,8%
32000	68,7%
33000	73,7%
34000	73,8%
35000	73%
36000	72,4%
37000	73,4%
38000	75,3%
39000	74,9%
40000	70,5%
41000	74,4%
42000	73,7%
43000	73,2%
44000	73,8%
45000	73,6%
46000	73,4%
47000	74,3%
48000	70,5%
49000	75,4%
50000	74,1%
51000	75,8%
52000	73,9%
53000	72,2%
54000	74,7%
55000	74,8%
56000	76,4%
57000	75,2%
58000	74,3%
59000	72,6%
60000	73,9%
61000	75,1%
62000	75,5%
63000	72,4%
64000	74,8%
65000	75,1%
66000	74%
67000	75,9%
68000	75,3%
69000	77,2%
70000	74,8%
71000	76,9%
72000	74,1%
73000	74%
74000	74,4%
75000	75,1%
76000	74,4%
77000	76,8%
78000	76,1%
79000	76,4%
80000	74,6%
81000	75,6%
82000	73,6%
83000	77%
84000	76,7%
85000	74,4%
86000	76,6%
87000	75,8%
88000	76,2%
89000	72,4%
90000	72,1%
91000	77,2%
92000	77,5%
93000	76%
94000	76,9%
95000	75,1%
96000	73,5%
97000	76,8%
98000	72,4%
99000	75,3%
	10	50	0,05	0,05	0,05	False	0,7682	26,954	100000
0	9%
1000	10,6%
2000	36,4%
3000	48,6%
4000	57,1%
5000	53,5%
6000	60,1%
7000	59,7%
8000	61,1%
9000	60,5%
10000	59,1%
11000	62,5%
12000	64,9%
13000	61,7%
14000	63,7%
15000	68,5%
16000	65,8%
17000	68,4%
18000	76,5%
19000	81,1%
20000	82,5%
21000	83%
22000	79,7%
23000	83%
24000	83,1%
25000	83,9%
26000	86,8%
27000	85,2%
28000	86,8%
29000	86,1%
30000	83,5%
31000	84,6%
32000	85%
33000	85,8%
34000	88,6%
35000	87,2%
36000	86,9%
37000	85,6%
38000	87,7%
39000	86,6%
40000	87,6%
41000	88,3%
42000	86,8%
43000	86,3%
44000	87,3%
45000	88%
46000	83,8%
47000	86,8%
48000	86,2%
49000	86,3%
50000	86,7%
51000	86,7%
52000	88,5%
53000	86,2%
54000	86,3%
55000	89,1%
56000	88,6%
57000	87%
58000	84%
59000	87,5%
60000	86%
61000	89,1%
62000	87%
63000	86,7%
64000	88,3%
65000	87,6%
66000	87,4%
67000	89,2%
68000	89,2%
69000	89,2%
70000	87,9%
71000	87%
72000	88,6%
73000	88%
74000	88,8%
75000	88,2%
76000	88,8%
77000	86%
78000	89,3%
79000	90,7%
	20	50	0,05	0,05	0,05	False	0,9121	43,524	79050
0	10,7%
1000	10,6%
2000	21,8%
3000	15,6%
4000	20,5%
5000	28,1%
6000	45,4%
7000	45,8%
8000	56%
9000	44,6%
10000	66,5%
11000	72,8%
12000	75,3%
13000	76,1%
14000	79%
15000	73,8%
16000	84,9%
17000	83,5%
18000	85,8%
19000	87,2%
20000	85,4%
21000	86,4%
22000	85,1%
23000	82,4%
24000	86,2%
25000	87,7%
26000	88,7%
27000	87,6%
28000	89,1%
29000	89,6%
30000	86,3%
31000	88%
32000	85,7%
33000	87,8%
34000	89,9%
35000	89%
36000	87,5%
37000	88,5%
38000	88,5%
39000	88,8%
40000	89,5%
41000	90,4%
	50	50	0,05	0,05	0,05	False	0,9114	45,72	41050
0	9,5%
1000	10,6%
2000	9,8%
3000	19,6%
4000	20,3%
5000	19,5%
6000	30,1%
7000	35,5%
8000	45,9%
9000	51,4%
10000	50,4%
11000	55,2%
12000	55,8%
13000	60,5%
14000	69,6%
15000	59,2%
